,NBH_ID,NBH_NAME,Median income,Income Level,Median home value,Total population age 25+ years with a bachelor's degree or higher,White alone,Black or African American alone,Asian alone,Hispanic or Latino,Total Vacant,Total Renter Occupied,Number of Households
0,89,Ward Estates,250001,H,1035700,371,612,0,11,0,19,0,226
1,87,Sunset Hill West,206000,H,996550,431,659,0,9,0,19,0,264
2,99,Country Club District,204271,H,704633,529,857,15,6,44,6,10,336
3,98,Greenway Fields,181406,H,539100,608,979,23,4,67,0,15,392
4,100,Stratford Gardens,181406,H,539100,608,979,23,4,67,0,15,392
5,88,Sunset Hill,162000,H,957400,492,707,0,8,0,19,0,302
6,102,Armour Fields,161250,H,490200,1414,2360,22,24,11,0,11,885
7,90,Countryside,133508,H,368933,676,1043,28,11,39,1,47,457
8,96,Wornall Homestead,127478,H,305000,584,978,0,5,44,29,27,444
9,176,Unity Ridge,126046,H,305933,467,1055,190,7,26,18,63,443
10,150,Verona Hills,124650,H,279000,525,882,50,22,51,4,23,410
11,95,Morningside,116154,H,282350,599,903,33,2,47,31,54,447
12,94,Brookside Park,114375,H,340900,735,1031,67,5,62,5,69,504
13,97,Country Club,113929,H,460500,420,551,26,64,20,0,0,274
14,101,Romanelli West,113000,H,421200,398,631,0,0,65,0,0,316
15,103,Armour Hills,109479,H,276650,727,1015,18,44,13,24,94,572
16,240,Shoal Creek,108405,H,249793,869,2325,123,87,146,46,144,957
17,232,Outer Gashland-Nashua,105399,H,259160,756,1929,126,57,74,42,155,815
18,84,Westwood,103594,H,273900,755,1013,15,52,58,114,204,626
19,223,Park Forest,95625,H,203750,619,1673,35,69,50,22,66,670
20,189,Briarcliff And Claymont,95488,H,220700,633,1286,24,24,123,28,40,604
21,175,Highview Estates,94950,H,237450,468,1010,370,16,41,27,142,626
22,224,Royal Oaks North,94333,H,215133,645,1570,49,49,64,27,28,688
23,236,Gashland,94225,H,212866,708,1899,126,36,161,55,189,856
24,183,Timber Valley,93576,H,179000,400,641,526,0,62,21,25,487
25,174,Longview,92998,H,247140,652,1508,276,58,73,9,161,681
26,92,Western 49-63,92983,H,245900,414,728,40,37,49,9,88,346
27,231,KCI & 2nd Creek,91886,H,250937,712,1851,146,103,118,63,193,840
28,217,Prairie Point-Wildberry,89747,H,232100,784,1939,209,127,172,124,604,1122
29,91,South Plaza,89487,H,374000,544,746,57,67,29,99,260,476
30,146,Bridlespur,89394,H,180600,396,747,83,0,67,12,37,375
31,233,Nashua,88957,H,174050,612,1823,136,22,183,0,42,758
32,229,Park Plaza,88507,H,246400,465,1023,61,26,158,33,183,587
33,149,Foxcroft And Glen Arbor,88100,H,323300,272,581,2,0,0,9,20,238
34,204,Foxwoods-Carriage Hills,88004,H,189100,266,972,128,6,230,25,46,470
35,147,Red Bridge North,87736,H,183600,395,694,35,41,60,40,20,376
36,178,Little Blue,87522,H,210250,570,1419,379,14,82,27,192,753
37,235,New Mark,86996,H,198650,690,2056,116,85,252,52,323,977
38,228,Breen Hills,86947,H,208166,378,1041,111,64,224,53,213,584
39,196,River Forest,86831,H,149450,155,620,123,40,96,10,120,336
40,93,Crestwood,86583,H,323300,334,864,57,39,14,24,98,290
41,107,Ward Parkway,86036,H,214850,485,814,20,18,92,8,139,472
42,151,Blue Hills Estates,85750,H,260900,659,1279,103,17,37,187,101,581
43,218,Coves North,83274,H,226380,721,1545,263,149,203,64,414,897
44,239,Ridgefield,82241,H,183371,421,1143,85,2,118,30,71,506
45,71,Coleman Highlands,81429,H,240300,261,244,79,28,217,65,9,252
46,205,Ravenwood-Somerset,81353,H,193620,372,1073,85,68,162,31,87,570
47,227,Parkdale And Walden,80826,H,238700,810,2087,163,9,147,56,351,1008
48,144,Lea Manor,80822,H,186266,434,691,88,24,69,64,126,450
